SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
"Live Nation Entertainment, Inc. (NYSE:LYV)",4121693,NYSE:LYV,"10,404,386","6,461,332","7,460,517","7,698,256","8,437,924","8,271,741","1,963,016","1,341,697","1,627,954","1,196,629",(524),"(1,191,012)","25,201,406","23,155,625","22,726,317","16,681,254","6,268,447","1,861,178"
Lockheed Martin Corporation (NYSE:LMT),4004271,NYSE:LMT,"22,771,000","12,169,000","11,670,000","15,547,000","17,459,000","20,270,000","8,285,000","8,394,000","10,225,000","8,620,000","9,010,000","10,001,000","75,048,000","71,043,000","67,571,000","65,984,000","67,044,000","65,398,000"
Loews Corporation (NYSE:L),103455,NYSE:L,"9,864,000","10,610,000","9,442,000","9,416,000","9,387,000","9,350,000","3,256,000","2,840,000","2,790,000","1,890,000","3,073,000","662,000","18,454,000","17,510,000","15,901,000","14,044,000","14,657,000","12,583,000"
"Lowe's Companies, Inc. (NYSE:LOW)",4004318,NYSE:LOW,"44,677,000","26,211,000","29,405,000","38,082,000","40,221,000","39,713,000","12,400,000","12,443,000","13,563,000","12,197,000","14,009,000","11,241,000","86,286,000","83,674,000","86,377,000","97,059,000","96,250,000","89,597,000"
lululemon athletica inc. (NASDAQGS:LULU),4218591,NASDAQGS:LULU,"1,798,441","798,681","881,052","1,070,334","1,403,282","1,575,791","2,706,843","2,952,221","2,590,061","2,017,932","1,598,955","998,206","11,102,600","10,588,126","9,619,278","8,110,518","6,256,617","4,401,879"
Lumentum Holdings Inc. (NASDAQGS:LITE),4973038,NASDAQGS:LITE,"2,608,200","1,189,300","1,239,900","1,936,000","2,873,700","2,559,600","64,500","(82,300)","194,300","477,700","509,700","432,200","1,645,000","1,359,200","1,767,000","1,712,600","1,742,800","1,678,600"
LyondellBasell Industries N.V. (NYSE:LYB),4986300,NYSE:LYB,"14,714,000","17,832,000","13,882,000","13,427,000","13,173,000","13,069,000","2,179,000","4,230,000","4,592,000","6,220,000","8,616,000","3,449,000","30,153,000","33,394,000","33,336,000","50,451,000","46,173,000","27,753,000"
M&T Bank Corporation (NYSE:MTB),100253,NYSE:MTB,"14,166,000","5,049,160","4,057,258","9,584,000","15,177,000","15,164,000",NA,NA,NA,NA,NA,NA,"9,185,000","8,669,000","8,998,000","7,662,000","6,067,000","5,154,761"
Marathon Petroleum Corporation (NYSE:MPC),4136924,NYSE:MPC,"34,358,000","33,095,000","26,904,000","27,909,000","28,501,000","28,758,000","9,471,000","9,095,000","16,951,000","22,965,000","7,121,000","775,000","133,174,000","139,336,000","149,348,000","178,236,000","120,451,000","69,896,000"
"Marriott International, Inc. (NASDAQGS:MAR)",4046286,NASDAQGS:MAR,"17,182,000","11,346,000","11,386,000","11,204,000","12,865,000","15,345,000","4,597,000","4,227,000","4,272,000","3,785,000","2,061,000","829,000","6,982,000","6,618,000","6,300,000","5,356,000","3,415,000","2,119,000"
"Marsh & McLennan Companies, Inc. (NYSE:MRSH)",103442,NYSE:MRSH,"21,449,000","13,579,000","13,162,000","13,472,000","15,436,000","21,862,000","7,831,000","7,226,000","6,535,000","5,661,000","5,499,000","4,064,000","26,981,000","24,458,000","22,736,000","20,720,000","19,820,000","17,224,000"
"Martin Marietta Materials, Inc. (NYSE:MLM)",4095241,NYSE:MLM,"6,007,000","3,109,300","5,738,500","5,627,900","4,926,000","5,998,000","2,109,000","1,829,000","1,851,000","1,593,000","1,483,600","1,334,100","6,150,000","5,662,000","5,851,000","6,161,000","5,414,000","4,432,100"
Masco Corporation (NYSE:MAS),6331137,NYSE:MAS,"3,215,000","2,983,000","3,169,000","3,445,000","3,250,000","3,214,000","1,414,000","1,516,000","1,505,000","1,459,000","1,185,000","1,393,000","7,562,000","7,828,000","7,967,000","8,680,000","8,375,000","7,188,000"
Mastercard Incorporated (NYSE:MA),4073702,NYSE:MA,"19,833,000","13,523,000","14,673,000","14,793,000","16,456,000","18,986,000","20,544,000","17,349,000","15,346,000","13,437,000","10,994,000","8,742,000","32,791,000","28,167,000","25,098,000","22,237,000","18,884,000","15,301,000"
"McCormick & Company, Incorporated (NYSE:MKC)",4219024,NYSE:MKC,"4,222,900","5,045,200","5,423,100","5,422,500","4,644,600","4,564,200","1,305,800","1,265,100","1,213,500","1,102,500","1,281,600","1,181,400","6,840,300","6,723,700","6,662,200","6,350,500","6,317,900","5,601,300"
McDonald's Corporation (NYSE:MCD),4095638,NYSE:MCD,"54,830,000","51,463,200","49,353,200","48,790,500","53,153,000","51,988,000","14,594,000","13,949,000","13,724,000","12,236,000","12,026,200","9,225,400","26,885,000","25,920,000","25,494,000","23,183,000","23,222,900","19,207,800"
McKesson Corporation (NYSE:MCK),4069640,NYSE:MCK,"7,432,000","9,420,000","9,551,000","7,617,000","7,313,000","7,426,000","5,416,000","5,107,000","4,822,000","4,791,000","3,946,000","3,887,000","359,051,000","308,951,000","276,711,000","263,966,000","238,228,000","231,051,000"
Medtronic plc (NYSE:MDT),4806212,NYSE:MDT,"29,626,000","25,742,000","27,404,000","24,984,000","25,413,000","26,047,000","9,113,000","9,038,000","8,266,000","9,554,000","8,192,000","7,825,000","33,537,000","32,364,000","31,227,000","31,686,000","30,117,000","28,913,000"
"Merck & Co., Inc. (NYSE:MRK)",4004265,NYSE:MRK,"50,534,000","33,417,000","34,631,000","31,985,000","36,268,000","38,270,000","29,105,000","29,134,000","19,706,000","24,279,000","17,016,000","13,613,000","65,011,000","64,168,000","60,115,000","59,283,000","48,704,000","41,518,000"
"Meta Platforms, Inc. (NASDAQGS:META)",4144156,NASDAQGS:META,"85,081,000","10,654,000","13,873,000","26,591,000","37,234,000","49,060,000","101,892,000","84,820,000","57,929,000","42,241,000","54,720,000","39,533,000","200,966,000","164,501,000","134,902,000","116,609,000","117,929,000","85,965,000"
"MetLife, Inc. (NYSE:MET)",4051708,NYSE:MET,"65,354,000","108,777,000","109,092,000","61,338,000","66,404,000","64,662,000","5,962,000","6,259,000","2,925,000","4,294,000","8,885,000","8,250,000","77,079,000","70,982,000","66,901,000","68,764,000","68,688,000","67,842,000"
Mettler-Toledo International Inc. (NYSE:MTD),4811730,NYSE:MTD,"2,265,323","1,436,039","1,801,246","2,130,693","2,196,285","2,124,918","1,211,900","1,212,375","1,164,047","1,216,543","1,073,793","854,252","4,026,399","3,872,361","3,788,309","3,919,709","3,717,930","3,085,177"
MGM Resorts International (NYSE:MGM),4094582,NYSE:MGM,"31,553,854","21,132,279","24,768,192","34,083,171","31,640,819","31,853,705","2,354,555","2,493,522","2,397,216","1,766,891","1,714,421","(779,793)","17,537,683","17,240,545","16,164,249","13,127,485","9,454,057","4,917,133"
Microchip Technology Incorporated (NASDAQGS:MCHP),4133448,NASDAQGS:MCHP,"5,781,200","9,621,400","9,069,300","7,850,100","6,600,000","6,161,100","1,125,600","3,438,200","4,110,400","3,022,600","2,153,100","1,909,400","4,401,600","7,634,400","8,438,700","6,820,900","5,438,400","5,274,200"
"Micron Technology, Inc. (NASDAQGS:MU)",4133530,NASDAQGS:MU,"15,352,000","7,230,000","7,335,000","7,576,000","13,999,000","14,078,000","18,090,000","9,003,000","4,096,000","16,740,000","12,928,000","8,710,000","37,378,000","25,111,000","15,540,000","30,758,000","27,705,000","21,435,000"
Microsoft Corporation (NASDAQGS:MSFT),4004214,NASDAQGS:MSFT,"112,184,000","82,110,000","82,278,000","78,400,000","79,441,000","97,852,000","156,528,000","129,433,000","102,023,000","97,983,000","80,816,000","65,259,000","281,724,000","245,122,000","211,915,000","198,270,000","168,088,000","143,015,000"
"Mid-America Apartment Communities, Inc. (NYSE:MAA)",103123,NYSE:MAA,"5,429,651","4,594,452","4,546,941","4,443,574","4,567,569","5,007,048","1,242,407","1,243,153","1,254,759","1,172,882","999,283","939,191","2,209,126","2,191,015","2,148,468","2,019,866","1,778,082","1,677,984"
"Moderna, Inc. (NASDAQGS:MRNA)",4430411,NASDAQGS:MRNA,"1,305,000","237,000","916,000","1,200,000","1,243,000","747,000","(2,859,000)","(3,756,000)","(3,618,000)","9,768,000","13,528,000","(732,000)","1,944,000","3,236,000","6,848,000","19,263,000","18,471,000","803,000"
Molson Coors Beverage Company (NYSE:TAP),4209632,NYSE:TAP,"6,512,400","8,603,300","7,466,100","6,706,300","6,434,700","6,354,300","2,363,300","2,476,700","2,281,900","1,813,800","2,316,000","2,198,900","11,140,800","11,627,000","11,702,100","10,701,000","10,279,700","9,654,000"
"Mondelez International, Inc. (NASDAQGS:MDLZ)",4060931,NASDAQGS:MDLZ,"21,968,000","20,706,000","20,145,000","23,613,000","20,110,000","18,544,000","4,990,000","7,740,000","6,898,000","5,838,000","6,107,000","5,416,000","38,537,000","36,441,000","36,016,000","31,496,000","28,720,000","26,581,000"
"Monolithic Power Systems, Inc. (NASDAQGS:MPWR)",4967353,NASDAQGS:MPWR,"24,103","3,099","5,807","3,797","7,868","15,793","781,149","575,788","521,904","563,899","291,116","185,872","2,790,459","2,207,100","1,821,072","1,794,148","1,207,798","844,452"
Monster Beverage Corporation (NASDAQGS:MNST),4915639,NASDAQGS:MNST,"66,007","21,336","22,380","38,131","66,015","373,951","2,658,504","2,137,828","2,060,953","1,648,162","1,852,922","1,690,383","8,294,343","7,492,709","7,140,027","6,311,050","5,541,352","4,598,638"
Moody's Corporation (NYSE:MCO),108462,NYSE:MCO,"7,435,000","6,944,000","7,996,000","8,102,000","7,598,000","7,915,000","3,737,000","3,232,000","2,485,000","2,256,000","3,094,000","2,661,000","7,718,000","7,088,000","5,916,000","5,468,000","6,218,000","5,371,000"
Morgan Stanley (NYSE:MS),103042,NYSE:MS,"513,408,000","341,525,000","357,380,000","367,465,000","394,787,000","418,581,000",NA,NA,NA,NA,NA,NA,"70,296,000","61,497,000","53,611,000","53,388,000","59,751,000","47,996,000"
"Motorola Solutions, Inc. (NYSE:MSI)",4280272,NYSE:MSI,"9,766,000","5,703,000","6,130,000","6,551,000","6,550,000","6,551,000","3,523,000","3,168,000","2,822,000","2,474,000","2,288,000","1,932,000","11,682,000","10,817,000","9,978,000","9,112,000","8,171,000","7,414,000"
MSCI Inc. (NYSE:MSCI),4167462,NYSE:MSCI,"6,338,406","3,519,119","4,311,451","4,643,521","4,627,862","4,631,969","1,824,099","1,647,249","1,476,805","1,300,949","1,172,806","947,204","3,134,459","2,856,128","2,528,920","2,248,598","2,043,544","1,695,390"
"Nasdaq, Inc. (NASDAQGS:NDAQ)",4057757,NASDAQGS:NDAQ,"9,526,000","5,976,000","6,253,000","5,905,000","10,933,000","9,923,000","3,117,000","2,617,000","2,163,000","1,952,000","1,901,000","1,547,000","5,249,000","4,649,000","3,895,000","3,582,000","3,420,000","2,903,000"
"NetApp, Inc. (NASDAQGS:NTAP)",4305562,NASDAQGS:NTAP,"3,491,000","1,812,000","2,752,000","2,940,000","2,684,000","2,652,000","1,640,000","1,489,000","1,365,000","1,364,000","1,099,000","1,082,000","6,572,000","6,268,000","6,362,000","6,318,000","5,744,000","5,412,000"
"Netflix, Inc. (NASDAQGS:NFLX)",4104060,NASDAQGS:NFLX,"16,975,837","18,510,826","18,116,570","16,931,564","16,973,374","17,994,974","13,659,992","10,746,528","7,310,950","5,969,513","6,402,921","4,700,999","45,183,036","39,000,966","33,723,297","31,615,550","29,697,844","24,996,056"
Newmont Corporation (NYSE:NEM),4075105,NYSE:NEM,"5,698,000","6,702,000","6,302,000","6,132,000","9,460,000","8,972,000","13,846,000","8,861,000","3,063,000","3,969,000","4,450,000","5,673,000","22,669,000","18,682,000","11,812,000","11,915,000","12,222,000","11,497,000"
News Corporation (NASDAQGS:NWSA),4382367,NASDAQGS:NWSA,"2,940,000","2,570,000","3,594,000","4,155,000","4,210,000","3,103,000","1,134,000","970,000","878,000","1,418,000","1,036,000","785,000","8,452,000","8,252,000","8,012,000","10,385,000","9,358,000","9,008,000"
"NextEra Energy, Inc. (NYSE:NEE)",3010401,NYSE:NEE,"97,220,000","48,215,000","55,027,000","65,741,000","74,067,000","83,560,000","14,138,000","13,150,000","16,228,000","8,717,000","7,307,000","9,278,000","27,412,000","24,753,000","28,114,000","20,956,000","17,069,000","17,997,000"
"NIKE, Inc. (NYSE:NKE)",4004236,NYSE:NKE,"11,021,000","13,015,000","12,813,000","12,627,000","12,144,000","11,983,000","4,477,000","7,550,000","6,618,000","7,515,000","8,028,000","4,234,000","46,309,000","51,362,000","51,217,000","46,710,000","44,538,000","37,403,000"
NiSource Inc. (NYSE:NI),4057051,NYSE:NI,"16,240,400","9,956,700","9,972,500","11,352,200","14,162,000","13,987,600","2,887,500","2,391,300","2,092,500","1,945,800","1,739,100","1,636,500","6,642,200","5,455,100","5,505,400","5,850,600","4,899,600","4,681,700"
Nordson Corporation (NASDAQGS:NDSN),4298336,NASDAQGS:NDSN,"2,092,358","1,248,684","951,547","860,454","1,862,909","2,320,351","884,010","824,203","802,265","762,876","712,661","540,171","2,791,687","2,689,921","2,628,632","2,590,278","2,362,209","2,121,100"
Norfolk Southern Corporation (NYSE:NSC),4021829,NYSE:NSC,"17,839,000","13,648,000","14,787,000","16,126,000","18,105,000","18,012,000","5,597,000","5,932,000","5,265,000","6,030,000","5,730,000","4,632,000","12,180,000","12,123,000","12,156,000","12,745,000","11,142,000","9,789,000"
Northern Trust Corporation (NASDAQGS:NTRS),100386,NASDAQGS:NTRS,"18,285,800","11,667,300","9,281,900","17,261,200","19,373,300","17,601,100",NA,NA,NA,NA,NA,NA,"8,093,900","8,293,400","6,749,000","6,749,200","6,546,000","5,975,800"
Northrop Grumman Corporation (NYSE:NOC),4069910,NYSE:NOC,"17,884,000","16,609,000","14,657,000","15,000,000","16,048,000","18,396,000","6,820,000","6,839,000","3,983,000","7,680,000","8,734,000","5,496,000","41,954,000","41,033,000","39,290,000","36,602,000","35,667,000","36,799,000"
Norwegian Cruise Line Holdings Ltd. (NYSE:NCLH),4232236,NYSE:NCLH,"15,536,139","12,016,461","13,152,154","14,249,283","14,726,797","13,916,472","2,546,212","2,357,440","1,740,392","(801,382)","(1,848,522)","(1,179,326)","9,827,592","9,479,651","8,549,924","4,843,760","647,986","1,279,908"
"NRG Energy, Inc. (NYSE:NRG)",4057436,NYSE:NRG,"16,626,000","9,039,000","8,287,000","8,302,000","10,979,000","10,994,000","2,966,000","3,492,000","282,000","3,044,000","4,703,000","1,804,000","30,713,000","28,130,000","28,823,000","31,543,000","26,989,000","9,093,000"
Nucor Corporation (NYSE:NUE),4121108,NYSE:NUE,"7,249,000","5,646,802","5,923,370","6,796,426","6,949,000","7,067,000","4,139,000","4,335,000","7,399,000","11,568,000","10,183,368","2,398,375","32,494,000","30,734,000","34,714,000","41,512,000","36,483,939","20,139,658"
NVIDIA Corporation (NASDAQGS:NVDA),4094286,NASDAQGS:NVDA,"11,412,000","7,597,000","11,831,000","12,031,000","11,056,000","9,982,000","133,230,000","83,317,000","34,480,000","7,121,000","11,215,000","5,819,000","215,938,000","130,497,000","60,922,000","26,974,000","26,914,000","16,675,000"
"NVR, Inc. (NYSE:NVR)",4094401,NYSE:NVR,"1,095,367","1,590,051","1,590,820","1,007,674","1,029,264","1,060,521","1,814,020","2,160,869","1,972,164","2,308,730","1,661,396","1,165,083","10,438,105","10,687,461","9,682,899","10,575,325","8,966,309","7,562,791"
NXP Semiconductors N.V. (NASDAQGS:NXPI),4203993,NASDAQGS:NXPI,"12,511,000","7,870,000","10,832,000","11,443,000","11,453,000","11,146,000","4,053,000","4,421,000","4,832,000","5,016,000","3,828,000","2,353,000","12,269,000","12,614,000","13,276,000","13,205,000","11,063,000","8,612,000"
Occidental Petroleum Corporation (NYSE:OXY),4010841,NYSE:OXY,"23,351,000","39,057,000","31,139,000","20,765,000","20,911,000","26,920,000","11,255,000","11,649,000","11,202,000","20,591,000","13,112,000","6,861,000","21,593,000","22,019,000","23,156,000","36,634,000","25,956,000","17,809,000"
"Old Dominion Freight Line, Inc. (NASDAQGS:ODFL)",4298644,NASDAQGS:ODFL,"141,395","206,231","202,747","198,063","200,377","168,287","1,725,736","1,888,576","1,965,122","2,116,698","1,651,501","1,168,149","5,496,389","5,814,810","5,866,152","6,260,077","5,256,328","4,015,129"
Omnicom Group Inc. (NYSE:OMC),4070013,NYSE:OMC,"11,268,400","7,195,700","6,872,500","6,702,000","6,720,800","7,075,300","2,793,300","2,520,300","2,374,000","2,358,800","2,324,200","1,954,500","17,271,900","15,689,100","14,692,200","14,289,100","14,289,400","13,171,100"
ON Semiconductor Corporation (NASDAQGS:ON),4133677,NASDAQGS:ON,"3,253,200","3,639,200","3,272,400","3,512,400","3,623,800","3,643,100","1,755,500","2,547,000","3,218,700","3,355,300","1,981,800","1,043,400","5,995,400","7,082,300","8,253,000","8,326,200","6,739,800","5,255,000"
"ONEOK, Inc. (NYSE:OKE)",4010846,NYSE:OKE,"33,053,000","14,564,994","13,902,059","13,701,000","21,764,000","32,293,000","7,336,000","6,196,000","4,220,000","3,433,000","3,218,000","2,547,219","33,629,000","21,698,000","17,677,000","22,387,000","16,540,000","8,542,242"
Oracle Corporation (NYSE:ORCL),4041363,NYSE:ORCL,"108,952,000","71,865,000","84,245,000","75,859,000","90,481,000","94,414,000","22,310,000","19,734,000","19,778,000","18,958,000","18,569,000","17,119,000","57,399,000","52,961,000","49,954,000","42,440,000","40,479,000","39,068,000"
"O'Reilly Automotive, Inc. (NASDAQGS:ORLY)",4930128,NASDAQGS:ORLY,"8,491,499","6,164,686","5,866,567","6,545,030","7,841,005","7,920,850","3,971,842","3,713,549","3,597,637","3,320,024","3,257,985","2,737,371","17,781,992","16,708,479","15,812,250","14,409,860","13,327,563","11,604,493"
Otis Worldwide Corporation (NYSE:OTIS),6331068,NYSE:OTIS,"8,511,000","6,497,000","7,790,000","7,210,000","7,307,000","8,742,000","2,551,000","2,531,000","2,437,000","2,287,000","2,374,000","2,109,000","14,431,000","14,261,000","14,209,000","13,685,000","14,298,000","12,756,000"
PACCAR Inc (NASDAQGS:PCAR),4001586,NASDAQGS:PCAR,"15,784,400","11,010,700","10,523,200","11,599,700","14,439,500","16,009,200","3,423,000","5,364,700","6,967,000","4,569,400","3,290,000","2,670,900","28,444,800","33,663,800","35,127,400","28,819,700","23,522,300","18,728,500"
Packaging Corporation of America (NYSE:PKG),4062146,NYSE:PKG,"4,364,900","2,737,900","2,732,300","2,793,100","3,173,200","2,771,500","1,900,000","1,678,000","1,608,200","1,933,600","1,712,200","1,223,700","8,989,300","8,383,300","7,802,400","8,478,000","7,730,300","6,658,200"
Palantir Technologies Inc. (NASDAQGS:PLTR),5148548,NASDAQGS:PLTR,"229,338","456,856","260,073","249,404","229,392","239,219","1,440,160","341,990","153,320","(138,679)","(396,149)","(1,159,808)","4,475,446","2,865,507","2,225,012","1,905,871","1,541,889","1,092,673"
"Palo Alto Networks, Inc. (NASDAQGS:PANW)",4318651,NASDAQGS:PANW,"417,400","3,420,700","3,539,400","3,952,900","2,270,700","1,344,400","1,329,500","1,094,400","590,000","31,400","(91,500)","(4,200)","9,221,500","8,027,500","6,892,700","5,501,500","4,256,100","3,408,400"
Paramount Skydance Corporation (NASDAQGS:PSKY),4074329,NASDAQGS:PSKY,"15,092,000","21,622,000","19,632,000","17,566,000","16,116,000","15,833,000","2,681,000","2,917,000","2,237,000","3,211,000","4,391,000","5,058,000","28,891,000","29,213,000","29,652,000","30,154,000","28,586,000","25,285,000"
Parker-Hannifin Corporation (NYSE:PH),4004412,NYSE:PH,"9,486,000","8,601,558","6,718,974","11,626,761","12,797,427","10,794,000","5,116,000","4,940,000","4,197,000","3,393,756","2,964,377","2,431,500","19,850,000","19,930,000","19,065,000","15,861,608","14,347,640","13,695,520"
"Paychex, Inc. (NASDAQGS:PAYX)",4070114,NASDAQGS:PAYX,"5,044,800","936,000","926,000","906,300","886,000","885,500","2,538,800","2,350,600","2,209,700","2,031,800","1,652,700","1,670,200","5,571,700","5,278,300","5,007,100","4,611,700","4,056,800","4,040,500"
"PayPal Holdings, Inc. (NASDAQGS:PYPL)",4580296,NASDAQGS:PYPL,"12,296,000","9,725,000","9,810,000","11,555,000","11,844,000","11,857,000","6,649,000","6,166,000","5,442,000","4,930,000","5,214,000","4,295,000","33,172,000","31,797,000","29,771,000","27,518,000","25,371,000","21,454,000"
Pentair plc (NYSE:PNR),4765589,NYSE:PNR,"1,766,100","926,800","982,300","2,399,000","2,093,600","1,767,100","1,091,100","1,024,000","843,600","742,200","714,400","527,600","4,176,000","4,082,800","4,104,500","4,121,800","3,764,800","3,017,800"
"PepsiCo, Inc. (NASDAQGS:PEP)",4004166,NASDAQGS:PEP,"53,028,000","45,843,000","42,378,000","41,487,000","47,061,000","47,751,000","18,174,000","17,842,000","16,785,000","14,950,000","14,433,000","13,327,000","93,925,000","91,854,000","91,471,000","86,392,000","79,474,000","70,372,000"
Pfizer Inc. (NYSE:PFE),3009080,NYSE:PFE,"67,647,000","41,264,000","41,395,000","39,377,000","75,332,000","67,418,000","25,718,000","22,551,000","12,575,000","44,871,000","32,084,000","14,455,000","62,579,000","63,627,000","59,554,000","101,175,000","81,288,000","41,651,000"
PG&E Corporation (NYSE:PCG),4057057,NYSE:PCG,"61,335,000","42,604,000","46,168,000","53,539,000","57,733,000","58,343,000","9,979,000","9,313,000","7,186,000","6,994,000","6,567,000","6,303,000","24,935,000","24,419,000","24,428,000","21,680,000","20,642,000","18,469,000"
Philip Morris International Inc. (NYSE:PM),4913068,NYSE:PM,"49,595,000","32,243,000","28,342,000","43,820,000","48,658,000","46,352,000","18,722,000","15,002,000","14,628,000","13,885,000","14,074,000","12,701,000","40,648,000","37,878,000","35,174,000","31,762,000","31,405,000","28,694,000"
Phillips 66 (NYSE:PSX),4095021,NYSE:PSX,"21,586,000","17,115,000","15,516,000","18,217,000","20,511,000","21,417,000","6,672,000","4,161,000","10,212,000","11,483,000","2,083,000","(161,000)","132,376,000","143,153,000","147,399,000","169,990,000","111,476,000","64,129,000"
Pinnacle West Capital Corporation (NYSE:PNW),4056951,NYSE:PNW,"14,299,632","6,919,387","8,184,579","8,877,148","10,303,194","11,048,342","2,049,665","2,017,117","1,719,424","1,648,212","1,636,992","1,530,746","5,339,939","5,124,915","4,695,991","4,324,385","3,803,835","3,586,982"
Pool Corporation (NASDAQGS:POOL),4104752,NASDAQGS:POOL,"1,535,031","636,153","1,430,994","1,660,825","1,364,484","1,271,923","631,167","661,788","786,502","1,064,569","862,371","499,938","5,289,396","5,310,953","5,541,595","6,179,727","5,295,584","3,936,623"
"PPG Industries, Inc. (NYSE:PPG)",4062397,NYSE:PPG,"7,902,000","6,606,000","7,466,000","7,657,000","6,613,000","6,411,000","2,652,000","2,736,000","2,700,000","2,178,000","2,312,000","2,298,000","15,875,000","15,845,000","16,242,000","15,614,000","16,802,000","13,834,000"
PPL Corporation (NYSE:PPL),4057058,NYSE:PPL,"19,516,000","15,946,000","11,289,000","14,295,000","15,668,000","16,863,000","3,545,000","3,152,000","2,916,000","2,560,000","2,603,000","2,664,000","9,042,000","8,462,000","8,312,000","7,902,000","5,783,000","5,474,000"
"Principal Financial Group, Inc. (NASDAQGS:PFG)",110230,NASDAQGS:PFG,"4,326,400","4,706,200","4,696,700","4,902,200","4,599,300","4,657,500","1,730,500","2,176,100","1,040,600","6,408,200","2,284,500","1,945,400","15,625,500","16,127,700","13,665,800","17,536,100","14,427,800","14,741,700"
"Prologis, Inc. (NYSE:PLD)",103146,NYSE:PLD,"35,680,534","17,336,197","18,163,499","24,514,801","29,657,062","31,494,568","6,442,861","6,032,183","5,876,601","4,404,051","3,599,606","3,261,146","9,192,658","8,555,233","8,330,696","6,284,564","5,163,695","4,736,105"
"Prudential Financial, Inc. (NYSE:PRU)",4072932,NYSE:PRU,"44,292,000","35,852,000","34,486,000","34,116,000","33,718,000","41,023,000","5,243,000","3,384,000","3,469,333","(3,162,000)","12,039,000","199,000","61,233,000","70,196,000","54,168,000","54,583,000","71,184,000","57,091,000"
PTC Inc. (NASDAQGS:PTC),4391244,NASDAQGS:PTC,"1,369,867","1,220,337","1,648,270","1,540,203","1,888,977","1,930,326","1,110,579","699,093","582,648","586,313","482,015","331,798","2,739,226","2,298,472","2,097,053","1,933,347","1,807,159","1,458,415"
Public Service Enterprise Group Incorporated (NYSE:PEG),4050911,NYSE:PEG,"24,230,000","17,529,000","19,662,000","20,467,000","20,433,000","22,889,000","4,504,000","3,799,000","4,791,000","3,163,000","3,525,000","3,865,000","12,168,000","10,290,000","11,237,000","9,800,000","9,722,000","9,603,000"
Public Storage (NYSE:PSA),103016,NYSE:PSA,"10,253,881","2,544,992","7,475,279","6,870,826","9,103,277","9,353,034","3,406,733","3,335,253","3,302,279","3,142,821","2,638,430","2,048,130","4,833,717","4,715,437","4,545,587","4,289,144","3,647,917","2,995,565"
"PulteGroup, Inc. (NYSE:PHM)",4006246,NYSE:PHM,"2,396,206","3,340,677","2,835,328","2,811,636","2,672,164","2,382,178","3,189,655","4,005,394","3,507,270","3,524,194","2,622,616","1,830,801","17,311,953","17,946,950","16,061,578","16,002,979","13,736,995","11,036,082"
"Qnity Electronics, Inc. (NYSE:Q)",138753722,NYSE:Q,"4,525,000",NA,NA,NA,"169,000","130,000","1,397,000","1,265,000","1,058,000","1,452,000",NA,NA,"4,754,000","4,335,000","4,035,000","4,755,000",NA,NA
QUALCOMM Incorporated (NASDAQGS:QCOM),4062496,NASDAQGS:QCOM,"15,643,000","16,231,000","16,299,000","16,159,000","16,067,000","15,440,000","13,996,000","11,959,000","10,459,000","16,563,000","11,371,000","7,620,000","44,284,000","38,962,000","35,820,000","44,200,000","33,566,000","23,531,000"
"Quanta Services, Inc. (NYSE:PWR)",4097102,NYSE:PWR,"6,418,954","1,453,014","4,002,318","3,975,491","4,463,697","4,478,957","2,497,410","2,045,370","1,706,735","1,483,091","1,052,832","911,029","28,479,697","23,672,795","20,882,206","17,073,903","12,980,213","11,202,672"
Quest Diagnostics Incorporated (NYSE:DGX),4070417,NYSE:DGX,"6,585,000","4,808,000","4,773,000","4,714,000","5,498,000","7,121,000","2,175,000","1,907,000","1,755,000","1,934,000","2,801,000","2,349,000","11,035,000","9,872,000","9,252,000","9,883,000","10,788,000","9,437,000"
Ralph Lauren Corporation (NYSE:RL),4157135,NYSE:RL,"2,668,100","3,227,100","3,620,500","3,391,900","2,881,900","2,675,300","1,143,000","1,024,900","967,200","876,900","447,000","871,600","7,079,000","6,631,400","6,443,600","6,218,500","4,400,800","6,159,800"
"Raymond James Financial, Inc. (NYSE:RJF)",102771,NYSE:RJF,"6,059,000","3,921,000","3,850,000","4,807,000","4,505,000","4,784,000",NA,NA,NA,NA,NA,NA,"14,015,000","12,797,000","11,510,000","10,827,000","9,813,000","7,757,000"
