SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
"Broadridge Financial Solutions, Inc. (NYSE:BR)",4157226,NYSE:BR,"3,459,000","2,111,100","4,190,900","4,066,200","3,652,600","3,576,900","1,686,700","1,495,000","1,361,400","1,223,900","1,013,300","924,200","6,889,100","6,506,800","6,060,900","5,709,100","4,993,700","4,529,000"
"Brown & Brown, Inc. (NYSE:BRO)",103448,NYSE:BRO,"7,918,000","2,312,383","2,246,300","4,183,000","4,020,000","4,060,000","1,982,000","1,589,000","1,362,000","1,152,000","1,010,400","808,200","5,763,000","4,705,000","4,199,000","3,566,000","3,050,300","2,610,600"
Brown-Forman Corporation (NYSE:BF.B),4086734,NYSE:BF.B,"2,837,000","2,655,000","2,628,000","2,344,000","2,998,000","3,197,000","1,246,000","1,232,000","1,258,000","1,315,000","1,093,000","1,174,000","3,975,000","4,178,000","4,228,000","3,933,000","3,461,000","3,363,000"
"Builders FirstSource, Inc. (NYSE:BLDR)",4073448,NYSE:BLDR,"5,100,271","1,905,104","3,401,751","3,489,418","3,713,358","4,332,825","1,377,708","2,157,178","2,734,594","4,267,346","2,952,376","682,920","15,190,638","16,400,492","17,097,330","22,726,418","19,893,856","8,558,874"
Bunge Global SA (NYSE:BG),4500439,NYSE:BG,"15,855,000","8,104,000","6,820,000","5,623,000","5,756,000","7,119,000","2,095,000","2,275,000","3,710,000","2,855,000","2,783,000","1,847,000","70,329,000","53,108,000","59,540,000","67,232,000","59,152,000","41,404,000"
"BXP, Inc. (NYSE:BXP)",112885,NYSE:BXP,"17,367,018","13,485,963","13,345,591","14,694,357","16,624,649","16,984,070","1,610,951","1,896,613","1,845,556","1,805,749","1,675,122","1,572,817","3,153,086","3,380,319","3,236,199","3,090,580","2,865,880","2,737,804"
"C.H. Robinson Worldwide, Inc. (NASDAQGS:CHRW)",4095936,NASDAQGS:CHRW,"1,395,386","1,428,047","2,226,329","2,361,168","1,952,501","1,741,132","874,992","774,952","592,265","1,365,013","1,147,392","752,383","16,232,763","17,724,956","17,596,443","24,696,625","23,102,138","16,207,106"
"Cadence Design Systems, Inc. (NASDAQGS:CDNS)",4963284,NASDAQGS:CDNS,"2,666,328","494,629","479,980","924,152","806,033","2,626,630","1,908,109","1,594,385","1,419,630","1,215,929","922,949","802,820","5,296,759","4,641,264","4,089,986","3,561,718","2,988,244","2,682,891"
Camden Property Trust (NYSE:CPT),103094,NYSE:CPT,"3,923,490","3,179,625","3,180,367","3,689,313","3,721,436","3,488,791","899,887","883,698","899,508","835,800","656,774","588,933","1,586,767","1,555,399","1,546,357","1,434,011","1,165,117","1,065,638"
Capital One Financial Corporation (NYSE:COF),103239,NYSE:COF,"53,887,000","43,006,000","45,895,000","53,488,000","53,503,000","48,544,000",NA,NA,NA,NA,NA,NA,"32,779,000","27,396,000","26,361,000","28,403,000","32,379,000","18,259,000"
"Cardinal Health, Inc. (NYSE:CAH)",4073203,NYSE:CAH,"9,388,000","7,236,000","6,715,000","5,848,000","5,269,000","5,703,000","3,273,000","2,860,000","2,481,000","2,340,000","2,577,000","2,685,000","222,578,000","226,827,000","204,979,000","181,326,000","162,467,000","152,922,000"
Carnival Corporation & plc (NYSE:CCL),4980730,NYSE:CCL,"27,993,000","28,390,000","34,612,000","35,881,000","31,907,000","28,876,000","7,149,000","6,076,000","4,226,000","(1,678,000)","(4,051,000)","(2,676,000)","26,622,000","25,021,000","21,593,000","12,169,000","1,908,000","5,594,000"
Carrier Global Corporation (NYSE:CARR),4158618,NYSE:CARR,"12,393,000","11,030,000","10,353,000","9,503,000","14,719,000","12,929,000","3,378,000","3,562,000","2,698,000","2,285,000","2,906,000","2,411,000","21,747,000","22,486,000","18,951,000","17,288,000","20,613,000","17,456,000"
Carvana Co. (NYSE:CVNA),6676338,NYSE:CVNA,"5,595,000","1,890,000","5,774,000","8,820,000","6,713,000","6,046,000","2,159,000","1,307,000","287,000","(1,186,000)","1,000","(258,000)","20,322,000","13,673,000","10,771,000","13,604,000","12,814,000","5,587,000"
